date,Union,FDP,GRUENE,LINKE,SPD,PIRATEN,AfD,firm,date_from,sample_size
2013-04-24,40,4,14,7,27,NA,2,Emnid,2013-04-18,2440
2013-04-24,40,4,14,7,27,2,3,Infratest dimap,2013-04-23,1008
2013-04-25,40,4,14,6,28,NA,3,FG Wahlen,2013-04-23,1231
2013-04-26,39,5,14,8,23,NA,3,Forsa,2013-04-22,2502
2013-04-30,38.5,5.5,15,6,26,NA,3.5,Allensbach,2013-04-15,NA
2013-04-30,37,5,15,7,27,NA,2,Emnid,2013-04-25,2282
2013-05-01,40,4,15,7,26,NA,3,Infratest dimap,2013-04-29,1506
2013-05-02,39,4,15,8,24,NA,3,Forsa,2013-04-29,2000
2013-05-07,38,4,15,8,26,NA,2,Emnid,2013-05-02,2362
2013-05-07,40,5,14,6,27,NA,3,Infratest dimap,2013-05-06,1000
2013-05-10,40,4,14,9,23,NA,2,Forsa,2013-05-06,2001
2013-05-15,39,4,15,7,26,NA,3,Emnid,2013-05-10,2003
2013-05-15,41,4,14,6,26,3,3,Infratest dimap,2013-05-14,1000
2013-05-16,41,4,13,6,29,NA,3,FG Wahlen,2013-05-14,1244
2013-05-17,39,6,13,6,27,NA,3.5,Allensbach,2013-05-04,1503
2013-05-17,41,4,13,8,24,NA,3,Forsa,2013-05-13,2503
2013-05-22,40,4,13,7,27,NA,2,Emnid,2013-05-18,1568
2013-05-22,41,4,14,6,27,2,2,Infratest dimap,2013-05-21,1008
2013-05-24,40,4,14,8,24,NA,3,Forsa,2013-05-21,2001
2013-05-28,40,5,14,7,26,NA,2,Emnid,2013-05-23,1866
2013-05-29,42,4,14,6,26,NA,3,Infratest dimap,2013-05-28,1000
2013-05-31,41,4,13,8,24,NA,3,Forsa,2013-05-27,2508
2013-06-05,41,4,13,7,26,NA,3,Emnid,2013-05-31,1951
2013-06-05,41,4,14,6,27,NA,3,Infratest dimap,2013-06-03,1503
2013-06-06,42,4,13,6,28,NA,3,FG Wahlen,2013-06-04,1275
2013-06-07,40,5,13,9,24,NA,2,Forsa,2013-06-03,2501
2013-06-12,41,5,13,8,25,NA,2,Emnid,2013-06-06,2727
2013-06-13,41,4,15,7,26,NA,2,Infratest dimap,2013-06-11,1000
2013-06-14,38,6,14,7,26,NA,3,Allensbach,2013-06-01,1490
2013-06-15,40,6,15,8,22,NA,2,Forsa,2013-06-10,2501
2013-06-19,41,4,14,8,25,NA,2,Emnid,2013-06-13,2755
2013-06-19,41,5,14,7,25,NA,NA,Infratest dimap,2013-06-18,1008
2013-06-21,41,5,15,8,22,NA,2,Forsa,2013-06-17,2502
2013-06-26,41,5,13,7,25,NA,2,Emnid,2013-06-20,1840
2013-06-26,41,4,13,7,26,3,NA,Infratest dimap,2013-06-25,1000
2013-06-27,43,4,13,6,26,NA,3,FG Wahlen,2013-06-25,1276
2013-06-28,41,5,14,9,22,NA,2,Forsa,2013-06-24,2501
2013-07-03,42,4,12,8,26,NA,2,Emnid,2013-06-27,1956
2013-07-03,42,4,14,7,25,3,NA,Infratest dimap,2013-07-01,1505
2013-07-05,41,5,15,9,22,NA,2,Forsa,2013-07-01,2503
2013-07-10,41,4,14,6,26,NA,3,Infratest dimap,2013-07-09,1000
2013-07-10,41,5,12,7,26,NA,1,Emnid,2013-07-04,1838
2013-07-11,40,6.5,12.5,6,25.5,NA,3.5,Allensbach,2013-07-01,1583
2013-07-11,41,5,13,7,26,NA,3,FG Wahlen,2013-07-09,1338
2013-07-13,41,5,14,8,23,NA,2,Forsa,2013-07-08,2502
2013-07-17,41,4,13,7,26,2,3,Infratest dimap,2013-07-16,1000
2013-07-17,40,6,13,8,25,NA,2,Emnid,2013-07-11,1854
2013-07-19,41,5,12,9,22,NA,2,Forsa,2013-07-15,2500
2013-07-24,42,4,14,7,25,2,2,Infratest dimap,2013-07-23,1000
2013-07-24,40,5,13,8,25,NA,3,Emnid,2013-07-18,2321
2013-07-26,41,5,13,8,22,NA,2,Forsa,2013-07-22,2501
2013-07-31,42,5,13,7,26,NA,NA,Infratest dimap,2013-07-29,1503
2013-07-31,40,5,13,8,25,NA,2,Emnid,2013-07-25,2770
2013-08-01,40,5,14,7,27,NA,NA,FG Wahlen,2013-07-30,1340
2013-08-05,40,5,14,7,23,NA,3,Forsa,2013-07-29,3003
2013-08-07,42,5,13,7,25,3,NA,Infratest dimap,2013-08-06,1000
2013-08-07,41,5,13,8,25,NA,2,Emnid,2013-08-01,1875
2013-08-12,40,5,13,8,23,NA,3,Forsa,2013-08-06,2500
2013-08-14,42,5,12,8,25,3,NA,Infratest dimap,2013-08-13,1000
2013-08-14,40,6,12,8,24,NA,1,Emnid,2013-08-08,1883
2013-08-15,39,7,13.5,7,24.5,NA,3,Allensbach,2013-08-03,1553
2013-08-15,41,5,13,8,25,NA,NA,FG Wahlen,2013-08-13,1316
2013-08-19,41,6,13,8,22,NA,2,Forsa,2013-08-13,2502
2013-08-21,42,5,12,9,24,2,3,Infratest dimap,2013-08-20,1000
2013-08-21,40,5,12,8,25,NA,3,Emnid,2013-08-15,2755
2013-08-22,41,6,13,8,25,NA,NA,FG Wahlen,2013-08-20,1287
2013-08-26,41,5,11,10,22,NA,3,Forsa,2013-08-20,2501
2013-08-28,41,5,11,8,26,NA,3,Infratest dimap,2013-08-27,1500
2013-08-28,39,6,11,10,23,NA,3,Emnid,2013-08-22,1851
2013-08-28,41,6,12,7,26,NA,3,FG Wahlen,2013-08-26,1358
2013-08-31,40,6,12.5,7.5,25,NA,3,Allensbach,2013-08-20,1548
2013-09-02,40,5,11,9,23,NA,4,Forsa,2013-08-27,2502
2013-09-04,41,5,10,8,27,2,3,Infratest dimap,2013-09-02,1502
2013-09-04,40,5,11,9,25,NA,3,Emnid,2013-09-02,1376
2013-09-04,41,6,10,8,26,NA,3,FG Wahlen,2013-09-02,1296
2013-09-09,39,6,9,10,25,NA,3,Forsa,2013-09-03,2500
2013-09-11,39,5,10,9,26,NA,4,Emnid,2013-09-05,1840
2013-09-12,40,5,10,8,28,3,3,Infratest dimap,2013-09-10,2012
2013-09-12,40,6,11,8,26,NA,4,FG Wahlen,2013-09-10,1298
2013-09-13,39,6,11,9,26,NA,3.5,Allensbach,2013-09-03,1269
2013-09-16,39,5,9,10,25,NA,3,Forsa,2013-09-10,2502
2013-09-19,39.5,5.5,9,9,27,NA,4.5,Allensbach,2013-09-16,1070
2013-09-19,40,5.5,9,8.5,27,NA,4,FG Wahlen,2013-09-18,1369
2013-09-19,40,5,10,9,26,NA,4,Forsa,2013-09-16,1995
2013-09-20,39,6,9,9,26,NA,4,Emnid,2013-09-14,2047
2013-09-26,43,3,7,9,26,NA,6,Emnid,2013-09-24,1382
2013-09-26,43,3,7,10,26,NA,5,FG Wahlen,2013-09-24,1293
2013-09-27,42,4,8,9,25,NA,5,Forsa,2013-09-23,2499
2013-10-01,42,4,8,9,25,NA,6,Emnid,2013-09-26,1849
2013-10-04,45,3,8,8,24,NA,6,Forsa,2013-09-30,2000
2013-10-09,42,3,9,10,25,NA,6,Emnid,2013-10-04,1833
2013-10-09,42,3,8,9,26,NA,5,Infratest dimap,2013-10-07,1503
2013-10-09,43,4,9,9,25,NA,5,INSA YouGov,2013-10-08,2030
2013-10-11,44,4,8,8,24,NA,6,Forsa,2013-10-07,2501
2013-10-14,42,3,9,9,25,NA,6,GMS,2013-10-09,1010
2013-10-14,42,4,9,9,26,NA,6,INSA YouGov,2013-10-11,1998
2013-10-16,41,5,9,9,25,NA,6,Allensbach,2013-10-01,NA
2013-10-16,42,3,9,10,25,NA,5,Emnid,2013-10-10,2334
2013-10-17,42,3,8,10,26,NA,5,FG Wahlen,2013-10-15,1183
2013-10-18,43,4,8,9,25,NA,5,Forsa,2013-10-14,2500
2013-10-21,43,4,10,9,26,NA,4,INSA YouGov,2013-10-18,2117
2013-10-23,41,3,10,9,26,NA,5,Emnid,2013-10-17,3219
2013-10-23,40,4,9,9,27,NA,5,Infratest dimap,2013-10-21,1028
2013-10-25,42,4,9,9,24,NA,5,Forsa,2013-10-21,2501
2013-10-28,42,4,10,9,27,NA,5,INSA YouGov,2013-10-25,2097
2013-10-30,42,3,9,9,25,NA,5,Emnid,2013-10-24,2768
2013-11-01,42,3,9,9,25,NA,5,Forsa,2013-10-28,2500
2013-11-04,42,4,11,9,26,NA,4,INSA YouGov,2013-11-01,2086
2013-11-06,41,3,10,9,26,NA,5,Emnid,2013-10-31,2296
2013-11-06,42,3,10,9,26,NA,4,Infratest dimap,2013-11-04,1520
2013-11-07,42,3,9,9,26,NA,5,FG Wahlen,2013-11-05,1288
2013-11-08,41,4,9,10,24,NA,5,Forsa,2013-11-04,2501
2013-11-11,42,4,11,9,25,NA,5,INSA YouGov,2013-11-06,2099
2013-11-13,41,3,10,9,25,NA,5,Emnid,2013-11-07,2765
2013-11-15,41,4,10,10,24,NA,5,Forsa,2013-11-11,2501
2013-11-18,41,4,9,9,25,NA,5,GMS,2013-11-13,1009
2013-11-18,41,4,10,10,25,NA,5,INSA YouGov,2013-11-15,2093
2013-11-20,42,3,10,9,25,NA,5,Emnid,2013-11-14,2204
2013-11-20,42,3,10,9,25,NA,4,Infratest dimap,2013-11-19,1006
2013-11-21,40,4,10,10,27,NA,5,Allensbach,2013-11-08,NA
2013-11-22,42,3,9,10,23,NA,5,Forsa,2013-11-18,2500
2013-11-25,41,4,11,9,26,NA,4,INSA YouGov,2013-11-22,2095
2013-11-27,41,4,9,9,26,NA,5,Emnid,2013-11-21,2389
2013-11-28,42,3,8,10,26,NA,5,FG Wahlen,2013-11-26,1270
2013-11-29,42,3,10,10,23,NA,5,Forsa,2013-11-25,2507
2013-12-02,43,4,11,10,24,NA,4,INSA YouGov,2013-11-29,2093
2013-12-04,42,3,9,9,26,NA,5,Emnid,2013-11-28,2291
2013-12-04,43,3,10,9,25,NA,4,Infratest dimap,2013-12-02,1523
2013-12-06,43,3,9,10,24,NA,5,Forsa,2013-12-02,2504
2013-12-09,43,3,10,9,25,NA,4,GMS,2013-12-04,1004
2013-12-09,42,4,10,10,25,NA,5,INSA YouGov,2013-12-06,2090
2013-12-11,42,4,9,9,25,NA,5,Emnid,2013-12-05,1901
2013-12-12,42,4,11,9,26,NA,5,Allensbach,2013-12-01,NA
2013-12-12,42,4,9,10,25,NA,4,FG Wahlen,2013-12-10,1255
2013-12-13,42,4,9,10,24,NA,5,Forsa,2013-12-09,2505
2013-12-16,42,4,9,9,27,NA,4,INSA YouGov,2013-12-13,2100
2013-12-18,41,4,9,9,25,NA,5,Emnid,2013-12-12,2346
2013-12-18,42,4,9,8,27,NA,4,Infratest dimap,2013-12-17,1000
2013-12-20,42,5,10,10,24,NA,4,Forsa,2013-12-16,2508
2014-01-03,41,5,10,10,23,NA,5,Forsa,2014-01-02,1003
2014-01-06,42,4,9,10,25,NA,5,INSA YouGov,2014-01-03,2067
2014-01-08,42,4,9,9,25,NA,5,Emnid,2014-01-04,1402
2014-01-08,41,4,9,8,27,NA,4,Infratest dimap,2014-01-06,1559
2014-01-10,40,5,10,10,23,NA,5,Forsa,2014-01-06,2503
2014-01-13,41,4,10,10,26,NA,4,INSA YouGov,2014-01-10,2083
2014-01-15,41,4,8,10,26,NA,5,Emnid,2014-01-09,2305
2014-01-16,43,4,9,10,24,NA,4,FG Wahlen,2014-01-14,1237
2014-01-17,41,5,10,10,23,NA,4,Forsa,2014-01-13,2502
2014-01-20,42,4,9,9,25,NA,4,GMS,2014-01-15,1007
2014-01-20,41,5,10,9,26,NA,4,INSA YouGov,2014-01-17,2096
2014-01-22,41,5,9,9,26,NA,4,Emnid,2014-01-16,2772
2014-01-23,40,5,10,9,26,NA,5,Allensbach,2014-01-10,NA
2014-01-24,42,4,11,9,23,NA,4,Forsa,2014-01-20,2503
2014-01-27,41,5,10,9,27,NA,4,INSA YouGov,2014-01-24,2079
2014-01-29,42,4,9,10,25,NA,4,Emnid,2014-01-23,2295
2014-01-29,42,4,9,8,27,NA,4,Infratest dimap,2014-01-27,1014
2014-01-30,43,4,10,9,25,NA,4,FG Wahlen,2014-01-28,1208
2014-01-31,42,4,10,9,24,NA,4,Forsa,2014-01-27,2501
2014-02-03,42,4,10,9,25,NA,5,INSA YouGov,2014-01-31,2110
2014-02-05,42,4,10,9,25,NA,4,Emnid,2014-01-30,2301
2014-02-05,41,4,9,9,27,NA,5,Infratest dimap,2014-02-03,1536
2014-02-07,41,4,10,10,24,NA,4,Forsa,2014-02-03,2502
2014-02-10,41,4,9,10,26,NA,5,INSA YouGov,2014-02-07,2102
2014-02-12,41,4,11,10,24,NA,5,Emnid,2014-02-06,2388
2014-02-13,40,4,11,9,27,NA,5,Allensbach,2014-02-01,NA
2014-02-14,40,4,10,10,24,NA,5,Forsa,2014-02-10,2502
2014-02-17,41,4,10,10,25,NA,5,INSA YouGov,2014-02-14,2080
2014-02-19,41,4,10,10,24,NA,5,Emnid,2014-02-13,2421
2014-02-20,43,4,10,10,24,NA,4,FG Wahlen,2014-02-18,1219
2014-02-21,41,5,10,10,22,NA,5,Forsa,2014-02-17,2502
2014-02-24,41,4,11,9,24,NA,5,GMS,2014-02-19,1005
2014-02-24,41,4,10,9,26,NA,6,INSA YouGov,2014-02-21,2100
2014-02-26,40,4,10,10,24,NA,5,Emnid,2014-02-20,2763
2014-02-26,40,4,10,9,26,NA,5,Infratest dimap,2014-02-24,1026
2014-02-28,40,4,10,11,22,NA,6,Forsa,2014-02-24,2500
2014-03-03,41,4,11,10,25,NA,5,INSA YouGov,2014-02-28,2043
2014-03-05,42,3,10,10,23,NA,5,Emnid,2014-02-27,2304
2014-03-05,42,4,11,9,24,NA,4,Infratest dimap,2014-03-04,1515
2014-03-07,42,4,9,10,23,NA,5,Forsa,2014-03-03,2503
2014-03-10,41,4,10,9,26,NA,6,INSA YouGov,2014-03-07,2085
2014-03-12,41,4,11,10,24,NA,5,Emnid,2014-03-06,2780
2014-03-13,41,5,10,9,25,NA,5,Allensbach,2014-03-01,NA
2014-03-13,41,4,10,10,25,NA,4,FG Wahlen,2014-03-11,1284
2014-03-14,42,4,9,10,23,NA,5,Forsa,2014-03-10,2500
2014-03-17,41,4,11,10,24,NA,5,GMS,2014-03-12,1006
2014-03-17,41,4,10,10,25,NA,5,INSA YouGov,2014-03-14,2102
2014-03-19,41,3,10,10,25,NA,5,Emnid,2014-03-13,2762
2014-03-21,41,4,10,10,23,NA,5,Forsa,2014-03-17,2502
2014-03-24,41,4,10,10,25,NA,5,INSA YouGov,2014-03-21,2088
2014-03-26,41,3,11,10,25,NA,5,Emnid,2014-03-20,2380
2014-03-26,41,4,10,8,25,NA,5,Infratest dimap,2014-03-25,1000
2014-03-27,41,3,10,10,25,NA,5,FG Wahlen,2014-03-25,1255
2014-03-28,42,4,9,10,23,NA,6,Forsa,2014-03-24,2501
2014-03-31,41,3,11,9,25,NA,5,INSA YouGov,2014-03-28,2087
2014-04-02,41,3,10,10,24,NA,6,Emnid,2014-03-27,2271
2014-04-02,41,4,10,9,26,NA,5,Infratest dimap,2014-03-31,1506
2014-04-04,42,4,10,10,23,NA,5,Forsa,2014-03-31,2502
2014-04-07,41,4,10,10,24,NA,6,INSA YouGov,2014-04-04,2085
2014-04-09,42,4,9,10,23,NA,6,Emnid,2014-04-03,2327
2014-04-10,40,5,11,8,27,NA,5,Allensbach,2014-03-28,1571
2014-04-10,41,4,10,10,25,NA,4,FG Wahlen,2014-04-08,1226
2014-04-11,41,4,10,10,23,NA,6,Forsa,2014-04-07,2501
2014-04-14,41,5,10,10,24,NA,6,INSA YouGov,2014-04-11,2080
2014-04-15,41,4,10,10,24,NA,6,GMS,2014-04-10,1008
2014-04-16,40,4,10,9,25,NA,6,Emnid,2014-04-10,2313
2014-04-17,41,4,10,10,24,NA,5,Forsa,2014-04-14,2002
2014-04-21,41,5,11,9,25,NA,5,INSA YouGov,2014-04-18,2089
2014-04-23,41,4,10,10,24,NA,5,Emnid,2014-04-17,1859
2014-04-23,41,4,10,10,25,NA,5,Infratest dimap,2014-04-22,1008
2014-04-25,41,4,10,9,24,NA,6,Forsa,2014-04-22,2002
2014-04-28,42,5,10,9,24,NA,6,INSA YouGov,2014-04-25,2093
2014-04-29,40,4,10,10,25,NA,5,Emnid,2014-04-24,2203
2014-04-29,40,4,10,9,26,NA,5,Infratest dimap,2014-04-28,1600
2014-05-02,41,4,10,10,23,NA,5,Forsa,2014-04-28,2001
2014-05-05,41,3,11,9,25,NA,5,INSA YouGov,2014-05-02,2082
2014-05-07,40,4,11,9,25,NA,5,Emnid,2014-04-30,2306
2014-05-08,40,4,11,10,25,NA,4,FG Wahlen,2014-05-06,1223
2014-05-09,40,5,11,8,26,NA,6,Allensbach,2014-04-25,NA
2014-05-09,40,4,10,10,24,NA,6,Forsa,2014-05-05,2504
2014-05-12,41,4,11,9,25,NA,5,GMS,2014-05-07,1005
2014-05-12,40,4,11,10,24,NA,6,INSA YouGov,2014-05-09,2033
2014-05-14,39,5,10,10,25,NA,6,Emnid,2014-05-08,2791
2014-05-14,39,4,11,9,26,NA,6,Infratest dimap,2014-05-12,1500
2014-05-16,40,4,10,10,24,NA,6,Forsa,2014-05-12,2501
2014-05-19,40,4,10,9,25,NA,5,INSA YouGov,2014-05-16,2009
2014-05-21,39,5,10,10,24,NA,6,Emnid,2014-05-15,2312
2014-05-23,40,4,10,10,25,NA,6,Forsa,2014-05-19,2503
2014-05-26,39,4,10,9,26,NA,6,INSA YouGov,2014-05-23,2009
2014-05-27,39,4,10,10,25,NA,6,Emnid,2014-05-22,2311
2014-05-30,38,4,10,10,23,NA,8,Forsa,2014-05-26,2002
2014-06-02,38,4,11,9,26,NA,6,INSA YouGov,2014-05-30,2014
2014-06-04,39,3,10,10,25,NA,7,Emnid,2014-05-28,2299
2014-06-04,39,3,11,9,26,NA,5,FG Wahlen,2014-06-02,1215
2014-06-04,38,4,11,9,26,NA,7,Infratest dimap,2014-06-02,1504
2014-06-06,39,4,9,10,23,NA,8,Forsa,2014-06-02,2501
2014-06-10,39,5,11,9,25,NA,7,INSA YouGov,2014-06-06,2036
2014-06-11,39,4,11,10,25,NA,6,Emnid,2014-06-05,2311
2014-06-13,40,4,10,8,26,NA,6,Allensbach,2014-05-28,NA
2014-06-13,39,4,10,10,23,NA,7,Forsa,2014-06-10,2001
2014-06-16,40,4,11,9,25,NA,6,INSA YouGov,2014-06-13,1993
2014-06-17,39,4,10,9,25,NA,7,Emnid,2014-06-12,1845
2014-06-18,39,4,12,8,25,NA,6,Infratest dimap,2014-06-17,1000
2014-06-20,41,4,10,9,23,NA,7,Forsa,2014-06-16,2504
2014-06-23,39,4,11,9,25,NA,6,GMS,2014-06-17,1007
2014-06-23,41,3,11,9,24,NA,6,INSA YouGov,2014-06-20,2020
2014-06-25,40,3,10,9,25,NA,7,Emnid,2014-06-19,2287
2014-06-25,39,3,11,9,25,NA,6,FG Wahlen,2014-06-23,1315
2014-06-27,41,4,10,9,23,NA,7,Forsa,2014-06-23,2502
2014-06-30,41,4,10,9,24,NA,6,INSA YouGov,2014-06-27,2044
2014-07-02,40,3,10,9,25,NA,6,Emnid,2014-06-27,2287
2014-07-02,39,4,11,9,26,NA,5,Infratest dimap,2014-06-30,1505
2014-07-04,41,3,11,9,23,NA,6,Forsa,2014-06-30,2014
2014-07-07,40,4,10,9,25,NA,6,INSA YouGov,2014-07-04,2033
2014-07-09,40,3,11,9,25,NA,5,Emnid,2014-07-03,2258
2014-07-11,41,4,11,9,25,NA,6,Allensbach,2014-06-28,NA
2014-07-11,41,3,11,9,23,NA,6,Forsa,2014-07-07,2503
2014-07-14,40,4,11,9,24,NA,6,INSA YouGov,2014-07-11,2018
2014-07-16,40,3,10,9,26,NA,5,Emnid,2014-07-10,2414
2014-07-16,40,4,10,10,26,NA,4,Infratest dimap,2014-07-15,1008
2014-07-17,41,3,11,9,24,NA,5,FG Wahlen,2014-07-15,1273
2014-07-18,43,3,10,10,22,NA,5,Forsa,2014-07-14,2505
2014-07-21,40,4,10,8,26,NA,5,GMS,2014-07-16,1004
2014-07-21,41,4,10,9,24,NA,6,INSA YouGov,2014-07-18,2044
2014-07-23,41,3,10,10,25,NA,5,Emnid,2014-07-17,2762
2014-07-25,43,3,10,10,22,NA,5,Forsa,2014-07-21,2501
2014-07-28,40,4,11,9,25,NA,5,INSA YouGov,2014-07-25,2014
2014-07-30,42,3,10,9,25,NA,5,Emnid,2014-07-24,1940
2014-08-01,43,4,9,9,24,NA,5,Forsa,2014-07-28,2501
2014-08-04,41,3,10,10,25,NA,5,INSA YouGov,2014-08-01,2032
2014-08-05,41,3,10,8,27,NA,7,Allensbach,2014-07-21,NA
2014-08-06,41,3,9,9,27,NA,5,Emnid,2014-07-31,2802
2014-08-06,41,3,10,9,26,NA,5,Infratest dimap,2014-08-04,1503
2014-08-08,42,4,10,9,24,NA,5,Forsa,2014-08-04,2500
2014-08-11,42,3,10,9,26,NA,6,INSA YouGov,2014-08-08,2006
2014-08-13,41,3,10,9,27,NA,4,Emnid,2014-08-07,1865
2014-08-15,42,3,10,9,24,NA,5,Forsa,2014-08-11,2502
2014-08-18,41,3,10,9,26,NA,4,GMS,2014-08-13,1007
2014-08-18,41,4,10,9,26,NA,5,INSA YouGov,2014-08-15,2005
2014-08-20,41,4,10,9,26,NA,4,Emnid,2014-08-14,3215
2014-08-21,41,4,10,9,25,NA,4,FG Wahlen,2014-08-19,1264
2014-08-22,42,3,10,9,24,NA,5,Forsa,2014-08-18,2504
2014-08-25,42,4,10,10,25,NA,5,INSA YouGov,2014-08-22,1998
2014-08-27,43,3,9,9,26,NA,5,Emnid,2014-08-21,2418
2014-08-27,42,3,9,9,25,NA,5,Infratest dimap,2014-08-26,1027
2014-08-29,41,3,10,10,24,NA,5,Forsa,2014-08-25,2504
2014-09-01,40,3,10,10,25,NA,6,INSA YouGov,2014-08-29,2036
2014-09-03,42,3,9,10,25,NA,6,Emnid,2014-08-28,2766
2014-09-03,40,3,10,10,24,NA,7,Infratest dimap,2014-09-01,1503
2014-09-04,42,3,9,9,25,NA,6,FG Wahlen,2014-09-02,1179
2014-09-05,42,3,9,9,23,NA,7,Forsa,2014-09-01,2502
2014-09-08,40,4,11,9,23,NA,6,INSA YouGov,2014-09-05,2030
2014-09-10,41,3,9,9,25,NA,7,Emnid,2014-09-04,2285
2014-09-11,41,4,10,9,26,NA,7,Allensbach,2014-09-01,NA
2014-09-12,41,3,9,9,24,NA,7,Forsa,2014-09-08,2503
2014-09-15,39,4,10,10,25,NA,7,INSA YouGov,2014-09-12,2020
2014-09-17,40,3,9,9,25,NA,8,Emnid,2014-09-11,2319
2014-09-19,42,2,8,9,22,NA,10,Forsa,2014-09-15,2501
2014-09-22,41,3,9,9,24,NA,9,GMS,2014-09-17,1011
2014-09-22,40,3,10,9,24,NA,8,INSA YouGov,2014-09-19,2019
2014-09-24,40,2,9,10,25,NA,8,Emnid,2014-09-18,2760
2014-09-24,39,3,10,10,25,NA,8,Infratest dimap,2014-09-22,1008
2014-09-25,41,3,9,8,26,NA,7,FG Wahlen,2014-09-23,1184
2014-09-26,42,2,9,8,23,NA,9,Forsa,2014-09-22,2501
2014-09-29,39,3,11,10,25,NA,9,INSA YouGov,2014-09-26,2037
2014-10-01,41,2,10,9,24,NA,9,Emnid,2014-09-25,2753
2014-10-01,41,2,9,10,24,NA,9,Infratest dimap,2014-09-29,1502
2014-10-02,41,2,10,9,23,NA,8,Forsa,2014-09-29,2004
2014-10-06,39,3,11,8,24,NA,8,INSA YouGov,2014-10-03,2030
2014-10-08,42,2,10,8,24,NA,8,Emnid,2014-10-02,2323
2014-10-09,41,3,9,8,25,NA,8,FG Wahlen,2014-10-07,1379
2014-10-10,40,3,10,9,23,NA,8,Forsa,2014-10-06,2505
2014-10-13,40,2,10,9,24,NA,9,INSA YouGov,2014-10-10,2043
2014-10-15,42,3,9,9,24,NA,7,Emnid,2014-10-09,2778
2014-10-16,40,3,11,9,26,NA,8,Allensbach,2014-10-04,NA
2014-10-17,41,2,9,9,24,NA,8,Forsa,2014-10-13,2504
2014-10-20,41,3,9,9,24,NA,7,GMS,2014-10-15,1016
2014-10-20,41,3,9,9,25,NA,8,INSA YouGov,2014-10-17,2005
2014-10-22,41,3,9,9,25,NA,6,Emnid,2014-10-16,2309
2014-10-22,40,2,10,9,26,NA,7,Infratest dimap,2014-10-20,1022
2014-10-23,41,3,9,8,26,NA,7,FG Wahlen,2014-10-21,1268
2014-10-24,41,2,10,9,23,NA,8,Forsa,2014-10-20,2504
2014-10-27,41,2,10,9,24,NA,8,INSA YouGov,2014-10-24,2003
2014-10-29,41,3,9,9,25,NA,7,Emnid,2014-10-23,2312
2014-10-31,41,3,10,9,22,NA,8,Forsa,2014-10-27,2504
2014-11-05,41,2,9,9,25,NA,7,Emnid,2014-10-30,2333
2014-11-05,41,3,10,9,25,NA,7,Infratest dimap,2014-11-03,1504
2014-11-05,41,3,9,9,25,NA,8,INSA YouGov,2014-11-03,2020
2014-11-07,41,3,9,10,23,NA,8,Forsa,2014-11-03,2502
2014-11-10,41,4,10,9,25,NA,8,INSA YouGov,2014-11-07,2028
2014-11-12,41,3,10,9,24,NA,7,Emnid,2014-11-06,2313
2014-11-13,41,4,10,8,27,NA,7,Allensbach,2014-11-01,NA
2014-11-13,41,NA,10,8,26,NA,7,FG Wahlen,2014-11-11,1242
2014-11-14,42,3,10,9,22,NA,7,Forsa,2014-11-10,2501
2014-11-17,40,3,10,10,25,NA,7,INSA YouGov,2014-11-14,2017
2014-11-19,42,3,10,8,25,NA,6,Emnid,2014-11-13,2331
2014-11-19,41,3,11,8,26,NA,6,Infratest dimap,2014-11-17,1023
2014-11-21,42,2,10,10,23,NA,6,Forsa,2014-11-17,2501
2014-11-24,42,3,9,8,25,NA,6,GMS,2014-11-19,1009
2014-11-24,41,3,9,11,24,NA,8,INSA YouGov,2014-11-21,1979
2014-11-26,41,3,10,9,25,NA,7,Emnid,2014-11-20,2307
2014-11-27,41,NA,11,8,26,NA,6,FG Wahlen,2014-11-25,1289
2014-11-28,41,2,11,9,24,NA,6,Forsa,2014-11-24,2502
2014-12-01,42,2,9,10,23,NA,9,INSA YouGov,2014-11-28,2047
2014-12-03,41,3,10,9,26,NA,6,Emnid,2014-11-27,2789
2014-12-03,40,2,11,9,26,NA,7,Infratest dimap,2014-12-01,1502
2014-12-05,41,2,11,9,24,NA,6,Forsa,2014-12-01,2503
2014-12-08,41,2,10,10,24,NA,8,INSA YouGov,2014-12-05,2046
2014-12-10,41,3,10,9,25,NA,6,Emnid,2014-12-04,2764
2014-12-11,42,NA,12,8,25,NA,6,FG Wahlen,2014-12-08,1269
2014-12-12,41,4,10,9,26,NA,7,Allensbach,2014-12-01,1505
2014-12-12,43,2,10,10,23,NA,5,Forsa,2014-12-08,2504
2014-12-15,42,2,10,9,25,NA,7,GMS,2014-12-10,1005
2014-12-15,42,2,10,10,25,NA,8,INSA YouGov,2014-12-12,2017
2014-12-17,42,2,9,9,25,NA,7,Emnid,2014-12-11,2755
2014-12-17,42,NA,10,8,25,NA,6,Infratest dimap,2014-12-15,1006
2014-12-19,42,2,10,11,23,NA,5,Forsa,2014-12-15,2504
2015-01-03,39,5,10,8,24,NA,9,GMS,2015-12-28,1008
2015-01-04,36,5,10,10,23,NA,10,INSA YouGov,2015-12-30,2022
2015-01-05,42,3,11,10,22,NA,5,Forsa,2015-01-02,1002
2015-01-05,43,2,9,10,24,NA,8,INSA YouGov,2015-01-02,2036
2015-01-07,43,3,9,9,24,NA,7,Emnid,2015-12-18,2864
2015-01-07,41,3,10,8,26,NA,6,Infratest dimap,2015-01-05,1506
2015-01-09,42,4,10,10,22,NA,6,Forsa,2015-01-05,2504
